City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Emirdag,TR,39.0197,31.15,53.53,46,100,8.32,overcast clouds
307,Tocopilla,CL,-22.092,-70.1979,72.39,67,11,8.3,few clouds
308,Baruun-Urt,MN,46.6806,113.2792,24.84,51,31,15.28,scattered clouds
309,Khomutovo,RU,52.4658,104.4025,23.61,93,100,2.17,overcast clouds
310,Nakuru,KE,-0.2833,36.0667,67.73,50,93,2.86,overcast clouds
311,Guozhen,CN,34.3659,107.359,59.67,51,100,4.97,overcast clouds
312,Moindou,NC,-21.6924,165.677,78.37,83,91,6.06,overcast clouds
313,Jhargram,IN,22.45,86.9833,81.27,71,1,17.87,clear sky
314,Kuvandyk,RU,51.4781,57.3552,45.84,88,100,12.82,overcast clouds
315,Clarksburg,US,39.2807,-80.3445,47.89,51,100,0.0,overcast clouds
316,Bathsheba,BB,13.2167,-59.5167,86.61,54,20,14.97,few clouds
317,Shakawe,BW,-18.3667,21.85,71.42,75,68,5.26,broken clouds
318,Simpang,ID,-1.2667,104.0833,74.53,92,47,2.57,scattered clouds
319,Carahue,CL,-38.7,-73.1667,63.86,46,39,6.71,scattered clouds
320,Maun,BW,-19.9833,23.4167,71.56,100,0,3.44,clear sky
321,Thornbury,GB,52.2333,-2.55,55.67,81,100,15.32,overcast clouds
322,Madhupur,IN,24.25,86.65,82.53,39,0,9.64,clear sky
323,Tanete,ID,-3.9443,119.7848,74.59,92,99,1.41,overcast clouds
324,Armidale,AU,-30.5167,151.65,50.83,92,0,1.61,clear sky
325,Chicama,PE,-7.8447,-79.1469,64.94,63,91,8.23,overcast clouds
326,Nantucket,US,41.2835,-70.0995,51.94,61,20,12.66,few clouds
327,Klaksvik,FO,62.2266,-6.589,34.72,64,100,19.37,overcast clouds
328,Taltal,CL,-25.4,-70.4833,70.66,59,1,7.52,clear sky
329,Cabinda,AO,-5.55,12.2,80.69,81,90,8.61,overcast clouds
330,Shache,CN,38.4167,77.2406,64.36,17,8,7.18,clear sky
331,Tingi,TZ,-11.3,35.0333,65.35,92,27,3.02,scattered clouds
332,Tekeli,KZ,44.83,78.8239,44.37,53,100,11.54,overcast clouds
333,Ahipara,NZ,-35.1667,173.1667,63.57,91,100,5.75,overcast clouds
334,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,100,11.5,overcast clouds
335,Fukue,JP,32.6881,128.8419,55.87,52,83,8.41,broken clouds
336,Bilibino,RU,68.0546,166.4372,-20.94,90,22,5.21,few clouds
337,Magdagachi,RU,53.45,125.8,18.48,76,81,4.7,broken clouds
338,College,US,64.8569,-147.8028,7.9,76,75,3.44,light snow
